field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
1204,51.99801785,136.6362174,68,15.6,372.31,Europe
1210,51.4840077,136.5108647,72,3.1,180.03,Europe
1211,51.19970405,106.4234276,548,18.5,159.5,Europe
1212,50.7563916,60.88916939,299,1.8,119.4,Europe
1213,50.90458605,30.49918657,98,5.9,636.17,Europe
1214,50.56652778,51.67937613,13,6.2,237.89,Asia
1219,50.06971951,115.8089656,595,4.5,803.78,Europe
1220,49.83990502,136.362048,16,12.5,323.6,Europe
1221,49.86823792,75.56626107,620,6.8,147.21,Asia
1223,50.01788574,31.34656327,87,5.3,470.09,Europe
1224,49.4968965,90.51088247,1434,9.7,284.43,Asia
1230,48.90320184,93.47289221,1029,7.7,125.79,Asia
1233,48.813424,34.06522939,62,4.9,506.72,Europe
1236,48.09344672,93.19912629,1129,4.1,574.52,Asia
1239,47.77790188,93.37295136,1128,6.6,370.35,Asia
1240,47.80902147,117.7048812,577,6.3,598.48,Asia
1242,47.79650696,16.73529688,110,2.1,141.51,Europe
1245,47.21652222,87.21268804,478,8.0,854.89,Asia
1249,46.89818698,6.841284159,422,18.7,210.29,Europe
1250,46.92563694,87.45447132,479,20.9,165.81,Asia
1251,46.88183838,17.83831935,100,3.3,577.21,Europe
1252,46.72213243,124.3694012,135,6.9,132.18,Asia
1254,46.58137505,80.98170191,348,3.2,744.83,Asia
1255,46.27783461,42.90393596,11,0.5,788.34,Europe
1256,46.70680556,30.51843826,0,30.1,109.87,Europe
1257,46.70610229,124.1667625,136,5.2,429.94,Asia
1258,46.4351983,81.27923904,348,2.0,122.86,Asia
1259,46.54433011,35.33182345,0,6.6,221.09,Europe
1260,46.1497899,38.37847236,0,3.2,273.15,Europe
1262,46.20035102,61.8314383,55,6.9,148.78,Asia
1264,46.17513618,33.91130058,0,9.0,208.51,Europe
1265,46.23208296,30.339675,0,16.2,370.47,Europe
1266,46.10416952,34.36369715,0,6.7,468.59,Europe
1268,45.82676446,38.22623049,-5,2.0,106.82,Europe
1278,45.59475898,99.09604881,1311,6.8,277.88,Asia
1284,45.46520413,28.62124751,-1,13.5,225.08,Europe
1286,45.25393745,124.2967119,126,2.7,246.95,Asia
1288,45.04991726,100.6933097,1216,4.2,114.13,Asia
1289,44.99672307,39.26134508,24,11.3,269.16,Europe
1290,44.86442748,82.96221786,194,1.4,564.86,Asia
1292,44.82060212,29.04733325,-1,0.5,510.74,Europe
